Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A3,FALSE,KN1922,sch,UNKNOWN,FAM,NFQ-MGB,27.316,27.795,0.585,620.754,467.816,172.022,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.966,N,N,N,Y,N
4,A4,FALSE,CL2037,env,UNKNOWN,NED,NFQ-MGB,28.352,28.456,0.153,"1,220.100","1,153.966",95.778,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,25,Amp,,0.994,N,Y,N,N,N
4,A4,FALSE,CL2037,pisck_sal,UNKNOWN,VIC,NFQ-MGB,30.593,30.127,0.404,57.825,80.361,19.534,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.963,N,Y,N,N,N
4,A4,FALSE,CL2037,sch,UNKNOWN,FAM,NFQ-MGB,27.865,27.553,0.296,422.871,533.538,107.862,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.974,N,N,N,N,N
5,A5,FALSE,CL2037,env,UNKNOWN,NED,NFQ-MGB,28.385,28.456,0.153,"1,197.666","1,153.966",95.778,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,25,Amp,,0.984,N,Y,N,N,N
5,A5,FALSE,CL2037,pisck_sal,UNKNOWN,VIC,NFQ-MGB,29.907,30.127,0.404,90.832,80.361,19.534,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,27,Amp,,0.961,N,Y,N,N,N
5,A5,FALSE,CL2037,sch,UNKNOWN,FAM,NFQ-MGB,27.517,27.553,0.296,539.385,533.538,107.862,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.973,N,N,N,N,N
6,A6,FALSE,CL2037,env,UNKNOWN,NED,NFQ-MGB,28.631,28.456,0.153,"1,044.131","1,153.966",95.778,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,26,Amp,,0.967,N,Y,N,N,N
6,A6,FALSE,CL2037,pisck_sal,UNKNOWN,VIC,NFQ-MGB,29.881,30.127,0.404,92.428,80.361,19.534,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,27,Amp,,0.951,N,Y,N,N,N
6,A6,FALSE,CL2037,sch,UNKNOWN,FAM,NFQ-MGB,27.276,27.553,0.296,638.358,533.538,107.862,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.970,N,N,N,N,N
7,A7,FALSE,CL2212,env,UNKNOWN,NED,NFQ-MGB,33.115,36.964,3.354,86.012,31.025,47.626,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,29,Amp,,0.837,N,Y,N,Y,N
7,A7,FALSE,CL2212,pisck_sal,UNKNOWN,VIC,NFQ-MGB,31.277,30.635,0.568,36.860,58.740,19.731,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.928,N,Y,N,Y,N
7,A7,FALSE,CL2212,sch,UNKNOWN,FAM,NFQ-MGB,28.057,27.647,0.358,369.845,502.368,116.077,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.965,N,N,N,N,N
8,A8,FALSE,CL2212,env,UNKNOWN,NED,NFQ-MGB,38.515,36.964,3.354,4.254,31.025,47.626,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,29,No Amp,,0.584,Y,Y,N,Y,N
8,A8,FALSE,CL2212,pisck_sal,UNKNOWN,VIC,NFQ-MGB,30.194,30.635,0.568,75.180,58.740,19.731,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.941,N,Y,N,Y,N
8,A8,FALSE,CL2212,sch,UNKNOWN,FAM,NFQ-MGB,27.398,27.647,0.358,586.005,502.368,116.077,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.968,N,N,N,N,N
9,A9,FALSE,CL2212,env,UNKNOWN,NED,NFQ-MGB,39.261,36.964,3.354,2.808,31.025,47.626,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,30,No Amp,,0.572,Y,Y,N,Y,N
9,A9,FALSE,CL2212,pisck_sal,UNKNOWN,VIC,NFQ-MGB,30.435,30.635,0.568,64.179,58.740,19.731,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.943,N,Y,N,Y,N
9,A9,FALSE,CL2212,sch,UNKNOWN,FAM,NFQ-MGB,27.486,27.647,0.358,551.255,502.368,116.077,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.973,N,N,N,N,N
10,A10,FALSE,EB0108,env,UNKNOWN,NED,NFQ-MGB,Undetermined,,,,,,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,Y
10,A10,FALSE,EB0108,pisck_sal,UNKNOWN,VIC,NFQ-MGB,34.819,34.819,,3.574,3.574,,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,31,Amp,,0.793,Y,Y,N,N,N
10,A10,FALSE,EB0108,sch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,44,No Amp,,0.000,Y,N,Y,N,Y
12,A12,FALSE,S1E6,env,STANDARD,NED,NFQ-MGB,16.843,16.843,,"1,000,000.000","1,000,000.000",,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,14,Amp,,0.988,N,Y,N,N,N
